POS,PLAYER,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,Ov,Wkts,BBI,Econ,4w,5w
73,Shardul Thakur,36,35,,1065,,29.58,,19.63,,,,,117.5,36.0,0.0,9.03,0.0,0.0
74,Pradeep Sangwan,39,39,,1175,,33.57,,22.91,,,,,133.4,35.0,0.0,8.79,0.0,0.0
75,Mitchell Starc,27,26,,693,,20.38,,17.05,,,,,96.4,34.0,0.0,7.16,1.0,0.0
76,Pawan Negi,50,42,,939,,27.61,,21.05,,,,,119.2,34.0,0.0,7.86,1.0,0.0
77,Dan Christian,40,40,,1037,,30.5,,23.02,,,,,130.3,34.0,0.0,7.94,0.0,0.0
78,Deepak Chahar,34,34,,875,,26.51,,20.84,,,,,114.4,33.0,0.0,7.63,0.0,0.0
79,Kevon Cooper,25,25,,757,,22.93,,17.45,,,,,96.0,33.0,0.0,7.88,1.0,0.0
80,Murali Kartik,56,55,,1388,,44.77,,37.06,,,,,191.3,31.0,0.0,7.24,0.0,0.0
81,Kagiso Rabada,18,18,,556,,17.93,,13.22,,,,,68.2,31.0,0.0,8.13,2.0,0.0
82,Thisara Perera,37,36,,1016,,32.77,,22.51,,,,,116.2,31.0,0.0,8.73,0.0,0.0
83,Azhar Mahmood,23,23,,700,,24.13,,18.51,,,,,89.3,29.0,0.0,7.82,0.0,0.0
84,Ajit Agarkar,42,42,,1151,,39.68,,26.96,,,,,130.2,29.0,0.0,8.83,0.0,0.0
85,Daniel Vettori,34,34,,879,,31.39,,27.75,,,,,129.3,28.0,0.0,6.78,0.0,0.0
86,Dirk Nannes,29,29,,785,,28.03,,23.07,,,,,107.4,28.0,0.0,7.29,0.0,0.0
87,Pravin Tambe,33,33,,853,,30.46,,23.57,,,,,110.0,28.0,0.0,7.75,1.0,0.0
88,Amit Singh,23,23,,620,,22.14,,16.89,,,,,78.5,28.0,0.0,7.86,1.0,0.0
89,Tim Southee,40,40,,1293,,46.17,,31.71,,,,,148.0,28.0,0.0,8.73,0.0,0.0
90,Mohammed Siraj,26,26,,848,,30.28,,19.75,,,,,92.1,28.0,0.0,9.2,1.0,0.0
91,MF Maharoof,20,20,,520,,19.25,,15.55,,,,,70.0,27.0,0.0,7.42,0.0,0.0
92,Angelo Mathews,49,44,,1079,,39.96,,29.29,,,,,131.5,27.0,0.0,8.18,1.0,0.0
93,Wayne Parnell,26,26,,701,,26.96,,22.0,,,,,95.2,26.0,0.0,7.35,0.0,0.0
94,Jofra Archer,21,21,,616,,23.69,,18.88,,,,,81.5,26.0,0.0,7.52,0.0,0.0
95,Ben Stokes,34,30,,808,,31.07,,22.57,,,,,97.5,26.0,0.0,8.25,0.0,0.0
96,Dwayne Smith,91,46,,810,,31.15,,20.73,,,,,89.5,26.0,0.0,9.01,1.0,0.0
97,Johan Botha,34,34,,800,,32.0,,27.76,,,,,115.4,25.0,0.0,6.91,0.0,0.0
98,Suresh Raina,193,69,,1118,,44.72,,36.32,,,,,151.2,25.0,0.0,7.38,0.0,0.0
99,Brett Lee,38,38,,1095,,43.8,,35.0,,,,,145.5,25.0,0.0,7.5,0.0,0.0
100,Harmeet Singh Bansal,27,26,,674,,26.96,,20.28,,,,,84.3,25.0,0.0,7.97,0.0,0.0
